feature,statistic,comparison,n_occupied,n_comparison,proteins_occupied,proteins_comparison,mean_occupied,mean_comparison,estimate,ci_low,ci_high,p,n_boot,family,q
n_rsa,smd,internal_control,318,31,233,24,0.43757893081761007,0.4277483870967742,0.0496163906188315,-0.3898748592527901,0.4783218502184112,0.786,2000,confirmatory,0.9470769230769231
plus1_rsa,smd,internal_control,318,31,233,24,0.2220191823899371,0.1821064516129032,0.18387784779970637,-0.18180769402182953,0.6536772506171118,0.341,2000,confirmatory,0.6576428571428572
plus2_rsa,smd,internal_control,318,31,233,24,0.31667169811320756,0.3222870967741936,-0.0249208351869438,-0.4343695645959578,0.3804437155473873,0.906,2000,confirmatory,0.9470769230769231
loop_run_length,smd,internal_control,204,20,157,17,7.504901960784314,11.1,-0.6843539394599636,-1.2244811599823817,-0.18745434338816344,0.006,2000,confirmatory,0.054
n_neighbours_8a,smd,internal_control,318,31,233,24,8.757861635220126,8.870967741935484,-0.044075139132296465,-0.466159293647157,0.4080657074254362,0.807,2000,confirmatory,0.9470769230769231
nd2_atoms_8a_same_chain,smd,internal_control,316,30,232,24,42.44303797468354,40.666666666666664,0.10773479152435533,-0.30508216899281143,0.533495130125396,0.626,2000,confirmatory,0.8451000000000001
nd2_residues_8a_same_chain,smd,internal_control,316,30,232,24,9.55379746835443,9.9,-0.09889259185244634,-0.48929380637817793,0.31824715914821133,0.584,2000,confirmatory,0.8451000000000001
nd2_atoms_8a_other_chain,smd,internal_control,316,30,232,24,1.4525316455696202,6.5,-0.4158889749038696,-0.7755668774298359,0.1581178172213769,0.084,2000,confirmatory,0.252
sidechain_neighbour_residues_5a,smd,internal_control,317,31,232,24,5.018927444794953,5.32258064516129,-0.15842596943582365,-0.5777625700590886,0.2742489425545774,0.438,2000,confirmatory,0.7884
neighbour_net_charge_8a,smd,internal_control,318,31,233,24,-0.025157232704402517,0.0,-0.02444167723580704,-0.39385876408923964,0.34715744094754375,0.911,2000,confirmatory,0.9470769230769231
neighbour_hydrophobic_fraction_8a,smd,internal_control,318,31,233,24,0.2831185534591195,0.23050000000000004,0.317006014887635,-0.0705801552355706,0.7121773815061081,0.105,2000,confirmatory,0.2835
