comparison,feature,n_pairs,units,mean_difference,standardised,ci_low,ci_high,p,q
secretory,plus1_rsa,261,72,-0.05250613026819924,-0.18020200573319214,-0.0816134083064998,0.007403588073527274,0.086,0.516
secretory,plus2_rsa,261,72,-0.016858237547892722,-0.055742251453893686,-0.08471419117647058,0.020177286657665536,0.42,0.7552
secretory,loop_run_length,126,44,-1.0158730158730158,-0.11386325203408842,-3.183001087350489,0.19183299744205817,0.11,0.528
secretory,nd2_atoms_8a_same_chain,249,70,-1.21285140562249,-0.08026506690126543,-3.150996843522258,1.2540344335131681,0.226,0.5808
secretory,nd2_residues_8a_same_chain,249,70,-0.20481927710843373,-0.055150369964155364,-0.6086542723467127,0.5069692460317459,0.472,0.7552
secretory,nd2_atoms_8a_other_chain,249,70,-2.2971887550200805,-0.18058308866786693,-3.8891181229773464,0.26852870813397073,0.083,0.516
secretory,sidechain_neighbour_residues_5a,260,72,-0.05,-0.039723057368567065,-0.18445572528564333,0.09697601010101006,0.439,0.7552
secretory,neighbour_net_charge_8a,261,72,-0.05363984674329502,-0.03207248593619163,-0.2222532588454376,0.2538988095238092,0.689,0.8045714285714286
secretory,neighbour_aromatic_fraction_8a,261,72,-0.010949042145593871,-0.07633448396333753,-0.03011999302270578,0.008411084885463481,0.215,0.5808
secretory,nearest_aromatic_sidechain_nd2,246,69,0.41247967479674796,0.10114456760361125,-0.1823197497257546,0.8491101345486111,0.14,0.56
secretory,uniprot_residues_after_asn,261,72,8.344827586206897,0.02055732846144559,-72.76234800231616,55.53034597385232,0.772,0.8055652173913043
secretory,uniprot_residues_after_sequon,261,72,8.344827586206897,0.02055732846144559,-72.76234800231616,55.53034597385232,0.772,0.8055652173913043
secretory,distance_to_n_terminus_resolved,261,72,-64.68582375478927,-0.27124153143192253,-107.25706019261638,-40.01358274078863,0.0005,0.012
secretory,distance_to_c_terminus_resolved,261,72,-10.586206896551724,-0.03441350670556165,-47.81188612711791,53.88680727362688,0.684,0.8045714285714286
secretory,n_ss_coarse==loop,261,72,-0.019157088122605363,-0.0327608375523687,-0.11513719257152417,0.026745194392253174,0.515,0.7725
secretory,n_ss_coarse==helix,261,72,-0.04980842911877394,-0.09714318705107607,-0.11490291186515926,0.10126582278481013,0.593,0.8045714285714286
secretory,n_ss_coarse==sheet,261,72,0.07279693486590039,0.1495374575229707,-0.026857556753584918,0.12217194570135746,0.218,0.5808
secretory,plus1_ss_coarse==loop,261,72,-0.03065134099616858,-0.04593742731860244,-0.16788460466930405,0.060296866014951045,0.457,0.7552
secretory,plus1_ss_coarse==helix,261,72,-0.01532567049808429,-0.02665703086627955,-0.08167801511053073,0.1297801422147861,0.885,0.8850000000000001
secretory,plus1_ss_coarse==sheet,261,72,0.05747126436781609,0.10910774613836265,-0.05436275680840898,0.11642896540855723,0.296,0.6458181818181817
secretory,plus2_ss_coarse==loop,261,72,-0.04597701149425287,-0.06727159669815368,-0.1805871212121212,0.022546543629593595,0.242,0.5808
secretory,plus2_ss_coarse==helix,261,72,-0.03065134099616858,-0.05275950834611186,-0.09890183346065698,0.1242253570551286,0.704,0.8045714285714286
secretory,plus2_ss_coarse==sheet,261,72,0.09578544061302682,0.1742047865633012,0.017543859649122806,0.18703735289101117,0.027,0.324
secretory,aromatic_within_8a==True,261,72,-0.019157088122605363,-0.027639337219701667,-0.13022109885620917,0.06702424073558086,0.652,0.8045714285714286
internal,plus1_rsa,16,12,0.09714375000000001,0.3988286133605776,-0.010660683823529405,0.23919625000000005,0.092,0.24533333333333335
internal,plus2_rsa,16,12,-0.11713124999999999,-0.44494294784637406,-0.26393406249999996,0.028451160714285686,0.13,0.312
internal,loop_run_length,6,5,-5.666666666666667,-0.8634894527947167,-12.0,-1.5,0.006,0.024000000000000004
internal,nd2_atoms_8a_same_chain,15,12,-0.06666666666666667,-0.006404563138432592,-5.953571428571428,5.416666666666667,0.988,1.0
internal,nd2_residues_8a_same_chain,15,12,-0.5333333333333333,-0.1871194196700683,-1.9458333333333333,0.8,0.483,0.6818823529411764
internal,nd2_atoms_8a_other_chain,15,12,1.2,0.2581988897471611,0.0,3.6,0.698,0.9306666666666666
internal,sidechain_neighbour_residues_5a,16,12,0.125,0.10893616758264878,-0.5,0.6666666666666666,0.74,0.9347368421052631
internal,neighbour_net_charge_8a,16,12,-0.125,-0.08591792457793383,-0.8002380952380953,0.7692307692307693,0.839,1.0
internal,neighbour_aromatic_fraction_8a,16,12,-0.0646125,-0.49932708492714095,-0.12392026923076924,-0.0166559615384616,0.005,0.024
internal,nearest_aromatic_sidechain_nd2,15,12,0.8599999999999998,0.26837379903409153,-0.3305298245614036,2.1959374999999994,0.154,0.33599999999999997
internal,uniprot_residues_after_asn,16,12,-215.25,-0.8416319080726895,-346.13033088235295,-92.92833333333337,0.0005,0.006
internal,uniprot_residues_after_sequon,16,12,-215.25,-0.8416319080726895,-346.13033088235295,-92.92833333333337,0.0005,0.006
internal,distance_to_n_terminus_resolved,16,12,36.75,0.2075366045766563,-26.008823529411764,113.94218749999997,0.248,0.42514285714285716
internal,distance_to_c_terminus_resolved,16,12,-155.25,-0.7463269567318603,-255.0095238095238,-52.37738095238101,0.002,0.012
